Id,ACTION
1,0.2712186323772888
2,0.9907527257653981
3,0.9725925910789134
4,0.9435957865425229
5,0.9999212934504838
6,0.9892528949053784
7,0.23695008466214235
8,0.9999834337825574
9,0.48839475927606446
10,0.9333532964555143
11,0.8440250609455862
12,0.9513161438646939
13,0.975151295136855
14,0.09939573368202413
15,0.8821351540356643
16,0.8352636753411352
17,0.14143737122918962
18,0.31692384505291377
19,0.9666682415932806
20,0.9871235094535847
21,0.9949183286864044
22,0.5003930440965514
23,0.9340890357752839
24,0.7898989171384025
25,0.7984073964033178
26,0.8273552210108631
27,0.9629768574624743
28,0.13337543073407643
29,0.9188533158750628
30,0.3622011787353112
31,0.9836547866981661
32,0.8750941096515187
33,0.9629017300986816
34,0.9811600626717081
35,0.9627367781038574
36,0.9929840815793398
37,0.7253722795784809
38,0.9832213135356639
39,0.8433059987974639
40,0.787320935089151
41,0.20534810734903614
42,0.9620512527177179
43,0.9151610397879212
44,0.9824687296063603
45,0.9759720709713369
46,0.888875833777333
47,0.999896964716046
48,0.8387089256631041
49,0.9981259607435135
50,0.9573742235508135
51,0.6684456748100652
52,0.9794610792245173
53,0.8265182718678851
54,0.9984330625587223
55,0.9448434500486197
56,0.9891286883371891
57,0.8566460292810795
58,0.9992801577245715
59,0.9129185551633212
60,0.9628105490818643
61,0.9971369855729869
62,0.8653501797179618
63,0.9708739536099057
64,0.9859637651325794
65,0.9947118599914121
66,0.9930817928097332
67,0.8909811534426515
68,0.9995493171289186
69,0.9547518234544066
70,0.1474354234826434
71,0.9409779684203303
72,0.9842713742921725
73,0.9716681238174504
74,0.9823046533627369
75,0.9617330360651848
76,0.9453788738829808
77,0.9741305691450589
78,0.8305615554002334
79,0.26174519043313815
80,0.9881729931822221
81,0.9972187039143953
82,0.9871942943741742
83,0.9857367453643329
84,0.9974256929711842
85,0.869116656126166
86,0.6409357710091653
87,0.8781287830644895
88,0.9702691201596416
89,0.9188217833039019
90,0.6329628519359464
91,0.8993696527896513
92,0.08362671169885576
93,0.9911690094463584
94,0.4811894360805777
95,0.9714518628722862
96,0.9356388104179989
97,0.025910011677651435
98,0.9665297888019476
99,0.9953406783486538
100,0.9950053525101858
101,0.9586761123536023
102,0.9992397945138369
103,0.9850138832183852
104,0.697007975504038
105,0.24915914395148334
